Seq,Year,DateOfCollection,Julian,DayNo,Longitude,Sample_ID,Population_Code,Family,Replicate,Region,Latitude,Longitude,Elev_m,SeedArea,SeedWidth_mm,Seed_length_mm,SeedShapeIndex,Dispersal_length_mm,Dispersal_and_seed_mm,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD<0,DD>5,DD<18,DD>18,NFFD,bFFP,sqrtSeedArea,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D,,,,,,,,,,,,,,
35,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-2,NAP-ASS2,2,,Alvar,44.26236111,-76.72755556,124,2.228,1.132,2.703,2.387809187,62.269,64.972,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.492648653,1.063954886,1.64408029,7.891070903,8.060521075,1.545253761,0.0084,0.0041,0.0043,,,,,,,,,,,,,,
36,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-2,AB-BNF1,2,,Prairie,51.19369444,-115.5530556,1400,2.285,0.947,3.472,3.666314678,44.879,48.351,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.511621646,0.97313925,1.863330352,6.699179054,6.953488333,1.914762303,0.0081,0.0041,0.004,,,,,,,,,,,,,,
37,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-2,AB-BNF1,2,,Prairie,51.19369444,-115.5530556,1400,2.072,0.938,3.28,3.496801706,39.465,42.745,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.439444337,0.968504001,1.811077028,6.282117477,6.537966045,1.869973718,0.0081,0.0041,0.004,,,,,,,,,,,,,,
38,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-2,AB-BNF1,2,,Prairie,51.19369444,-115.5530556,1400,2.24,0.977,3.353,3.431934493,39.132,42.485,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.496662955,0.988433103,1.831119876,6.255557529,6.518051856,1.852548108,0.0081,0.0041,0.004,,,,,,,,,,,,,,
39,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-2,AB-BNF1,2,,Prairie,51.19369444,-115.5530556,1400,1.898,0.871,2.976,3.416762342,39.691,42.667,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.377679208,0.933273808,1.725108692,6.300079365,6.531998163,1.848448631,0.0081,0.0041,0.004,,,,,,,,,,,,,,
40,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-2,AB-BNF1,2,,Prairie,51.19369444,-115.5530556,1400,2.21,0.871,3.072,3.526980482,40.176,43.248,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.486606875,0.933273808,1.752712184,6.33845407,6.57632116,1.878025687,0.0081,0.0041,0.004,,,,,,,,,,,,,,
41,2002,6/1/2002,2452427,151,-76.71244444,NAP-ASS1-1,NAP-ASS1,1,,Alvar,44.26586111,-76.71244444,124,3.147,1.102,3.106,2.818511797,59.934,63.04,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.773978579,1.049761878,1.762384748,7.741705239,7.939773297,1.678842398,0.008,0.0041,0.0039,,,,,,,,,,,,,,
42,2002,6/1/2002,2452427,151,-76.71244444,NAP-ASS1-1,NAP-ASS1,1,,Alvar,44.26586111,-76.71244444,124,2.585,1.145,2.562,2.237554585,62.826,65.388,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.607793519,1.070046728,1.600624878,7.926285385,8.086284685,1.495845776,0.008,0.0041,0.0039,,,,,,,,,,,,,,
43,2002,6/1/2002,2452427,151,-76.71244444,NAP-ASS1-1,NAP-ASS1,1,,Alvar,44.26586111,-76.71244444,124,2.327,1.158,3.219,2.779792746,69.509,72.728,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.525450753,1.076104084,1.794157184,8.337205767,8.528071294,1.667271048,0.008,0.0041,0.0039,,,,,,,,,,,,,,
44,2002,6/1/2002,2452427,151,-76.71244444,NAP-ASS1-1,NAP-ASS1,1,,Alvar,44.26586111,-76.71244444,124,2.401,1.057,2.897,2.740775781,60.686,63.583,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.549516053,1.028105053,1.702057578,7.79012195,7.973894908,1.655528852,0.008,0.0041,0.0039,,,,,,,,,,,,,,
45,2002,6/1/2002,2452427,151,-76.71244444,NAP-ASS1-1,NAP-ASS1,1,,Alvar,44.26586111,-76.71244444,124,2.245,1.068,3.29,3.080524345,63.715,67.005,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.498332406,1.033440855,1.813835715,7.982167625,8.18565819,1.755142258,0.008,0.0041,0.0039,,,,,,,,,,,,,,
46,2002,6/24/2002,2452450,174,-79.02641667,CAR-5C3-5,CAR-5C3,5,,Alvar,44.66961111,-79.02641667,258,2.276,0.816,3.322,4.071078431,35.934,39.256,4.1,19,-8.9,27.8,919,417,15.4,45.5,1101,1631,5148,116,149,141,1.508641773,0.903327183,1.822635454,5.994497477,6.265460877,2.017691362,0.004,0.004,0.0026,,,,,,,,,,,,,,
47,2002,6/24/2002,2452450,174,-79.02641667,CAR-5C3-5,CAR-5C3,5,,Alvar,44.66961111,-79.02641667,258,1.869,0.63,2.92,4.634920635,37.104,40.024,4.1,19,-8.9,27.8,919,417,15.4,45.5,1101,1631,5148,116,149,141,1.367113748,0.793725393,1.708800749,6.091305279,6.326452402,2.152886582,0.004,0.004,0.0026,,,,,,,,,,,,,,
48,2002,6/24/2002,2452450,174,-79.02641667,CAR-5C3-5,CAR-5C3,5,,Alvar,44.66961111,-79.02641667,258,1.022,0.523,2.685,5.133843212,26.485,29.17,4.1,19,-8.9,27.8,919,417,15.4,45.5,1101,1631,5148,116,149,141,1.010940156,0.723187389,1.638596961,5.146357935,5.400925847,2.265798582,0.004,0.004,0.0026,,,,,,,,,,,,,,
49,2002,6/24/2002,2452450,174,-79.02641667,CAR-5C3-5,CAR-5C3,5,,Alvar,44.66961111,-79.02641667,258,0.737,0.298,2.284,7.66442953,24.053,26.337,4.1,19,-8.9,27.8,919,417,15.4,45.5,1101,1631,5148,116,149,141,0.858487041,0.545893763,1.511290839,4.904385792,5.13195869,2.768470612,0.004,0.004,0.0026,,,,,,,,,,,,,,
50,2002,6/24/2002,2452450,174,-79.02641667,CAR-5C3-5,CAR-5C3,5,,Alvar,44.66961111,-79.02641667,258,0.76,0.504,1.95,3.869047619,24.919,26.869,4.1,19,-8.9,27.8,919,417,15.4,45.5,1101,1631,5148,116,149,141,0.871779789,0.709929574,1.396424004,4.991893428,5.183531615,1.966989481,0.004,0.004,0.0026,,,,,,,,,,,,,,
51,2002,6/1/2002,2452427,151,-76.71061111,NAP-ASS3-2,NAP-ASS3,2,,Alvar,44.26144444,-76.71061111,124,2.6,1.107,3.513,3.173441734,63.045,66.558,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.61245155,1.052140675,1.874299869,7.940088161,8.158308648,1.781415654,0.008,0.0039,0.0041,,,,,,,,,,,,,,
52,2002,6/1/2002,2452427,151,-76.71061111,NAP-ASS3-2,NAP-ASS3,2,,Alvar,44.26144444,-76.71061111,124,2.929,1.196,3.892,3.254180602,70.949,74.841,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.711432149,1.093617849,1.972815247,8.423122936,8.651069298,1.803934755,0.008,0.0039,0.0041,,,,,,,,,,,,,,
53,2002,6/1/2002,2452427,151,-76.71061111,NAP-ASS3-2,NAP-ASS3,2,,Alvar,44.26144444,-76.71061111,124,1.856,0.968,2.733,2.823347107,61.592,64.325,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.362350909,0.98386991,1.653178756,7.848057084,8.020286778,1.680281853,0.008,0.0039,0.0041,,,,,,,,,,,,,,
54,2002,6/1/2002,2452427,151,-76.71061111,NAP-ASS3-2,NAP-ASS3,2,,Alvar,44.26144444,-76.71061111,124,2.077,0.939,3.038,3.235356763,60.401,63.439,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.441180072,0.969020124,1.742985944,7.771808026,7.964860325,1.79870975,0.008,0.0039,0.0041,,,,,,,,,,,,,,
55,2002,6/1/2002,2452427,151,-76.71061111,NAP-ASS3-2,NAP-ASS3,2,,Alvar,44.26144444,-76.71061111,124,0.795,0.476,2.379,4.99789916,41.312,43.691,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.891627725,0.689927532,1.542400726,6.42744117,6.609916792,2.235598166,0.008,0.0039,0.0041,,,,,,,,,,,,,,
56,2002,6/24/2002,2452450,174,-81.76947222,MAN-LCI1-4,MAN-LCI1,4,,Alvar,46.02152778,-81.76947222,184,3.205,1.421,3.177,2.235749472,60.719,63.896,2.5,17,-8.1,25.1,1000,506,12.5,33.7,1279,1317,5662,56,123,162,1.790251379,1.192057046,1.782414093,7.792239729,7.993497357,1.495242279,0.0076,0.0038,0.0038,,,,,,,,,,,,,,
57,2002,6/24/2002,2452450,174,-81.76947222,MAN-LCI1-4,MAN-LCI1,4,,Alvar,46.02152778,-81.76947222,184,3.319,1.259,3.026,2.403494837,59.684,62.71,2.5,17,-8.1,25.1,1000,506,12.5,33.7,1279,1317,5662,56,123,162,1.821812285,1.122051692,1.739540169,7.725542052,7.918964579,1.550320882,0.0076,0.0038,0.0038,,,,,,,,,,,,,,
58,2002,6/24/2002,2452450,174,-81.76947222,MAN-LCI1-4,MAN-LCI1,4,,Alvar,46.02152778,-81.76947222,184,4.094,1.416,3.134,2.213276836,59.982,63.116,2.5,17,-8.1,25.1,1000,506,12.5,33.7,1279,1317,5662,56,123,162,2.023363536,1.189957982,1.770310707,7.74480471,7.944557886,1.487708586,0.0076,0.0038,0.0038,,,,,,,,,,,,,,
59,2002,6/24/2002,2452450,174,-81.76947222,MAN-LCI1-4,MAN-LCI1,4,,Alvar,46.02152778,-81.76947222,184,3.385,1.437,3.106,2.16144746,58.23,61.336,2.5,17,-8.1,25.1,1000,506,12.5,33.7,1279,1317,5662,56,123,162,1.839836949,1.198749348,1.762384748,7.630858405,7.831730332,1.470186199,0.0076,0.0038,0.0038,,,,,,,,,,,,,,
60,2002,6/24/2002,2452450,174,-81.76947222,MAN-LCI1-4,MAN-LCI1,4,,Alvar,46.02152778,-81.76947222,184,3.305,1.254,3.256,2.596491228,56.343,59.599,2.5,17,-8.1,25.1,1000,506,12.5,33.7,1279,1317,5662,56,123,162,1.817965896,1.119821414,1.804438971,7.506197439,7.72003886,1.611363158,0.0076,0.0038,0.0038,,,,,,,,,,,,,,
61,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-4,CAR-1-2,4,1,Alvar,44.68383333,-79.05655556,266,1.492,0.877,2.742,3.126567845,57.488,60.23,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.221474519,0.936482781,1.655898548,7.582084146,7.760798928,1.768210351,0.0073,0.0038,0.0035,,,,,,,,,,,,,,
62,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-4,CAR-1-2,4,2,Alvar,44.68383333,-79.05655556,266,2.288,0.836,3.652,4.368421053,54.601,58.253,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.512613632,0.914330356,1.91102067,7.389248947,7.632365295,2.090076806,0.0073,0.0038,0.0035,,,,,,,,,,,,,,
63,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-4,CAR-1-2,4,3,Alvar,44.68383333,-79.05655556,266,2.405,0.893,3.226,3.612541993,45.393,48.619,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.550806242,0.944986772,1.796106901,6.737432745,6.972732606,1.900668828,0.0073,0.0038,0.0035,,,,,,,,,,,,,,
64,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-4,CAR-1-2,4,4,Alvar,44.68383333,-79.05655556,266,1.939,0.911,2.899,3.182217344,50.953,53.852,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.392479802,0.9544632,1.702645001,7.138137012,7.338392194,1.783877054,0.0073,0.0038,0.0035,,,,,,,,,,,,,,
65,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-4,CAR-1-2,4,5,Alvar,44.68383333,-79.05655556,266,1.589,0.864,2.865,3.315972222,52.596,55.461,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.260555433,0.929516003,1.692631088,7.252309977,7.447214244,1.820981115,0.0073,0.0038,0.0035,,,,,,,,,,,,,,
