Seq,Year,DateOfCollection,Julian,DayNo,Longitude,Sample_ID,Population_Code,Family,Replicate,Region,Latitude,Longitude,Elev_m,SeedArea,SeedWidth_mm,Seed_length_mm,SeedShapeIndex,Dispersal_length_mm,Dispersal_and_seed_mm,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD<0,DD>5,DD<18,DD>18,NFFD,bFFP,sqrtSeedArea,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D,,,,,,,,,,,,,,
1154,2003,5/31/2003,2452791,150,-96.56011111,MN-BST1-1,MN-BST1,1,,Prairie,45.45997222,-96.56011111,358,0.446,0.434,1.395,3.214285714,13.65,15.045,2.4,18.9,-16.5,35.5,547,381,22.6,49.7,1660,1563,5750,106,144,148,0.667832314,0.658786764,1.181101181,3.69459064,3.878788471,1.792842914,0.0033,0.001,0.0023,,,,,,,,,,,,,,
1155,2003,5/31/2003,2452791,150,-96.56011111,MN-BST1-1,MN-BST1,1,,Prairie,45.45997222,-96.56011111,358,1.671,0.821,2.308,2.811205847,15.378,17.686,2.4,18.9,-16.5,35.5,547,381,22.6,49.7,1660,1563,5750,106,144,148,1.292671652,0.906090503,1.519210321,3.921479313,4.205472625,1.676665097,0.0033,0.001,0.0023,,,,,,,,,,,,,,
1156,2003,6/6/2003,2452797,156,-96.69194444,MB-TGP1-1,MB-TGP1,1,,Prairie,49.08466667,-96.69194444,297,1.392,0.825,2.568,3.112727273,37.034,39.602,3.1,19.7,-15.4,35,697,560,18.8,35.1,1659,1814,5552,170,153,141,1.179830496,0.908295106,1.60249805,6.085556671,6.293011997,1.764292287,0.003,0.001,0.002,,,,,,,,,,,,,,
1157,2003,6/6/2003,2452797,156,-96.69194444,MB-TGP1-1,MB-TGP1,1,,Prairie,49.08466667,-96.69194444,297,1.343,0.814,2.168,2.663390663,37.9,40.068,3.1,19.7,-15.4,35,697,560,18.8,35.1,1659,1814,5552,170,153,141,1.158878768,0.902219485,1.472412986,6.156297589,6.32992891,1.631989786,0.003,0.001,0.002,,,,,,,,,,,,,,
1158,2003,6/6/2003,2452797,156,-96.69194444,MB-TGP1-1,MB-TGP1,1,,Prairie,49.08466667,-96.69194444,297,1.137,0.538,2.419,4.496282528,25.341,27.76,3.1,19.7,-15.4,35,697,560,18.8,35.1,1659,1814,5552,170,153,141,1.066302021,0.733484833,1.555313473,5.033984505,5.268775949,2.120443946,0.003,0.001,0.002,,,,,,,,,,,,,,
1159,2003,6/6/2003,2452797,156,-96.69194444,MB-TGP1-1,MB-TGP1,1,,Prairie,49.08466667,-96.69194444,297,1.823,0.828,2.884,3.483091787,36.901,39.785,3.1,19.7,-15.4,35,697,560,18.8,35.1,1659,1814,5552,170,153,141,1.350185172,0.909945053,1.698234377,6.07461933,6.307535176,1.866304313,0.003,0.001,0.002,,,,,,,,,,,,,,
1160,2003,6/6/2003,2452797,156,-96.69194444,MB-TGP1-1,MB-TGP1,1,,Prairie,49.08466667,-96.69194444,297,1.906,0.739,2.555,3.457374831,37.916,40.471,3.1,19.7,-15.4,35,697,560,18.8,35.1,1659,1814,5552,170,153,141,1.380579588,0.859651092,1.598436736,6.157596934,6.361682167,1.85940174,0.003,0.001,0.002,,,,,,,,,,,,,,
1161,2003,6/6/2003,2452797,156,-96.63072222,MB-TGP3-3,MB-TGP3,3,,Prairie,49.08936111,-96.63072222,298,1,0.523,1.843,3.523900574,29.338,31.181,3.2,19.5,-14.8,34.3,560,426,23.5,45.8,1630,1810,5531,172,153,141,1,0.723187389,1.357571361,5.416456406,5.583994986,1.877205523,0.003,0.001,0.002,,,,,,,,,,,,,,
1162,2003,6/6/2003,2452797,156,-96.63072222,MB-TGP3-3,MB-TGP3,3,,Prairie,49.08936111,-96.63072222,298,0.935,0.457,2.011,4.400437637,35.938,37.949,3.2,19.5,-14.8,34.3,560,426,23.5,45.8,1630,1810,5531,172,153,141,0.96695398,0.676017751,1.418097317,5.994831107,6.160275968,2.097722011,0.003,0.001,0.002,,,,,,,,,,,,,,
1163,2003,6/6/2003,2452797,156,-96.63072222,MB-TGP3-3,MB-TGP3,3,,Prairie,49.08936111,-96.63072222,298,1.49,0.801,2.432,3.036204744,52.012,54.444,3.2,19.5,-14.8,34.3,560,426,23.5,45.8,1630,1810,5531,172,153,141,1.220655562,0.894986033,1.559487095,7.211934553,7.378617757,1.742470873,0.003,0.001,0.002,,,,,,,,,,,,,,
1164,2003,6/6/2003,2452797,156,-96.63072222,MB-TGP3-3,MB-TGP3,3,,Prairie,49.08936111,-96.63072222,298,1.024,0.597,2.319,3.884422111,39.87,42.189,3.2,19.5,-14.8,34.3,560,426,23.5,45.8,1630,1810,5531,172,153,141,1.011928851,0.772657751,1.52282632,6.314269554,6.495305997,1.970893734,0.003,0.001,0.002,,,,,,,,,,,,,,
1165,2003,6/6/2003,2452797,156,-96.63072222,MB-TGP3-3,MB-TGP3,3,,Prairie,49.08936111,-96.63072222,298,1.348,0.642,2.44,3.800623053,42.986,45.426,3.2,19.5,-14.8,34.3,560,426,23.5,45.8,1630,1810,5531,172,153,141,1.161034022,0.801249025,1.562049935,6.556370947,6.739881305,1.949518672,0.003,0.001,0.002,,,,,,,,,,,,,,
1166,2003,5/28/2003,2452788,147,-86.11666667,MICH-MNF3-2,MICH-MNF3,2,,Prairie,43.45,-86.11666667,238,0.992,0.703,1.914,2.722617354,19.345,21.259,7.5,21.7,-7.7,29.4,946,455,18.5,47.6,694,2275,4085,299,166,139,0.995991968,0.838450953,1.383473888,4.398295124,4.610748312,1.650035561,0.0026,0.001,0.0016,,,,,,,,,,,,,,
1167,2003,5/28/2003,2452788,147,-86.11666667,MICH-MNF3-2,MICH-MNF3,2,,Prairie,43.45,-86.11666667,238,2.03,0.838,2.196,2.62052506,19.259,21.455,7.5,21.7,-7.7,29.4,946,455,18.5,47.6,694,2275,4085,299,166,139,1.424780685,0.915423399,1.481890684,4.388507719,4.631954231,1.618803589,0.0026,0.001,0.0016,,,,,,,,,,,,,,
1168,2003,5/28/2003,2452788,147,-86.11666667,MICH-MNF3-2,MICH-MNF3,2,,Prairie,43.45,-86.11666667,238,0.878,0.816,1.441,1.765931373,15.437,16.878,7.5,21.7,-7.7,29.4,946,455,18.5,47.6,694,2275,4085,299,166,139,0.937016542,0.903327183,1.200416594,3.928994782,4.108284313,1.328883506,0.0026,0.001,0.0016,,,,,,,,,,,,,,
1169,2003,5/28/2003,2452788,147,-86.11666667,MICH-MNF3-2,MICH-MNF3,2,,Prairie,43.45,-86.11666667,238,0.77,0.741,1.88,2.537112011,19.214,21.094,7.5,21.7,-7.7,29.4,946,455,18.5,47.6,694,2275,4085,299,166,139,0.877496439,0.860813569,1.37113092,4.383377693,4.592820484,1.592831445,0.0026,0.001,0.0016,,,,,,,,,,,,,,
1170,2003,5/28/2003,2452788,147,-86.11666667,MICH-MNF3-2,MICH-MNF3,2,,Prairie,43.45,-86.11666667,238,0.477,0.761,1.311,1.722733246,14.812,16.123,7.5,21.7,-7.7,29.4,946,455,18.5,47.6,694,2275,4085,299,166,139,0.690651866,0.87235314,1.144989083,3.848636122,4.015345564,1.312529331,0.0026,0.001,0.0016,,,,,,,,,,,,,,
1171,2003,6/4/2003,2452795,154,-101.4321667,ND-FTR1-5,ND-FTR1,5,,Prairie,47.59536111,-101.4321667,568,0.818,0.339,2.063,6.085545723,22.95,25.013,2.8,21.9,-14.1,36,397,255,32.3,85.9,1636,1745,5693,213,159,140,0.904433524,0.582237065,1.436314729,4.790615827,5.001299831,2.466889889,0.003,0.0009,0.0021,,,,,,,,,,,,,,
1172,2003,6/4/2003,2452795,154,-101.4321667,ND-FTR1-5,ND-FTR1,5,,Prairie,47.59536111,-101.4321667,568,0.255,0.339,1.395,4.115044248,24.606,26.001,2.8,21.9,-14.1,36,397,255,32.3,85.9,1636,1745,5693,213,159,140,0.504975247,0.582237065,1.181101181,4.960443529,5.099117571,2.028557184,0.003,0.0009,0.0021,,,,,,,,,,,,,,
1173,2003,6/4/2003,2452795,154,-101.4321667,ND-FTR1-5,ND-FTR1,5,,Prairie,47.59536111,-101.4321667,568,1.172,0.582,2.531,4.348797251,33.796,36.327,2.8,21.9,-14.1,36,397,255,32.3,85.9,1636,1745,5693,213,159,140,1.082589488,0.762889245,1.590911688,5.813432721,6.027188399,2.085377005,0.003,0.0009,0.0021,,,,,,,,,,,,,,
1174,2003,6/4/2003,2452795,154,-101.4321667,ND-FTR1-5,ND-FTR1,5,,Prairie,47.59536111,-101.4321667,568,0.651,0.365,1.687,4.621917808,22.64,24.327,2.8,21.9,-14.1,36,397,255,32.3,85.9,1636,1745,5693,213,159,140,0.80684571,0.604152299,1.298845641,4.758150901,4.93224087,2.149864602,0.003,0.0009,0.0021,,,,,,,,,,,,,,
1175,2003,6/4/2003,2452795,154,-101.4321667,ND-FTR1-5,ND-FTR1,5,,Prairie,47.59536111,-101.4321667,568,0.332,0.296,1.393,4.706081081,24.808,26.201,2.8,21.9,-14.1,36,397,255,32.3,85.9,1636,1745,5693,213,159,140,0.576194412,0.54405882,1.18025421,4.980762994,5.118691239,2.169350382,0.003,0.0009,0.0021,,,,,,,,,,,,,,
1176,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-5,MICH-DRI2,5,,Alvar,46.08333333,-83.68333333,184,0.554,0.666,1.319,1.98048048,19.641,20.96,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.744311763,0.816088231,1.148477253,4.431816783,4.578209257,1.407295449,0.0025,0.0009,0.0016,,,,,,,,,,,,,,
1177,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-5,MICH-DRI2,5,,Alvar,46.08333333,-83.68333333,184,0.904,0.413,1.238,2.997578692,16.132,17.37,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.950789146,0.642650761,1.112654484,4.016466108,4.167733197,1.731351695,0.0025,0.0009,0.0016,,,,,,,,,,,,,,
1178,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-5,MICH-DRI2,5,,Alvar,46.08333333,-83.68333333,184,1.17,0.522,1.578,3.022988506,18.872,20.45,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.081665383,0.722495675,1.2561847,4.344191524,4.522167622,1.738674353,0.0025,0.0009,0.0016,,,,,,,,,,,,,,
1179,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-5,MICH-DRI2,5,,Alvar,46.08333333,-83.68333333,184,0.991,0.527,2.026,3.844402277,18.55,20.576,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.995489829,0.725947657,1.423376268,4.306971093,4.536077601,1.960714736,0.0025,0.0009,0.0016,,,,,,,,,,,,,,
1180,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-5,MICH-DRI2,5,,Alvar,46.08333333,-83.68333333,184,0.59,0.261,1.283,4.915708812,19.232,20.515,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.768114575,0.510881591,1.132695899,4.385430424,4.529348739,2.217139782,0.0025,0.0009,0.0016,,,,,,,,,,,,,,
1181,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-2,SK-KBT1,2,,Prairie,51.95894444,-109.19375,679,1.068,0.646,2.094,3.241486068,41.745,43.839,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.033440855,0.803741252,1.447065997,6.461037068,6.621102627,1.800412749,0.0023,0.0009,0.0014,,,,,,,,,,,,,,
1182,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-2,SK-KBT1,2,,Prairie,51.95894444,-109.19375,679,1.009,0.71,2.328,3.278873239,33.602,35.93,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.00448992,0.842614977,1.52577849,5.796723212,5.994163828,1.810765926,0.0023,0.0009,0.0014,,,,,,,,,,,,,,
1183,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-2,SK-KBT1,2,,Prairie,51.95894444,-109.19375,679,1.242,0.785,2.054,2.61656051,35.608,37.662,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.114450537,0.886002257,1.433178286,5.96724392,6.136937347,1.617578595,0.0023,0.0009,0.0014,,,,,,,,,,,,,,
1184,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-2,SK-KBT1,2,,Prairie,51.95894444,-109.19375,679,0.498,0.39,1.28,3.282051282,25.775,27.055,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.705691151,0.6244998,1.13137085,5.076908508,5.201442108,1.811643255,0.0023,0.0009,0.0014,,,,,,,,,,,,,,
1185,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-2,SK-KBT1,2,,Prairie,51.95894444,-109.19375,679,0.567,0.299,2.375,7.943143813,21.424,23.799,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.752994024,0.546808925,1.541103501,4.628606702,4.878421876,2.818358354,0.0023,0.0009,0.0014,,,,,,,,,,,,,,
1186,2003,6/10/2003,2452801,160,-106.0515556,SK-PANP1-3,SK-PANP1,3,,Prairie,53.58363889,-106.0515556,500,0.652,0.435,1.883,4.328735632,16.548,18.431,-1.2,15.7,-19.3,34.9,400,286,22,54.8,2373,1105,6984,30,141,152,0.80746517,0.659545298,1.372224471,4.067923303,4.293134053,2.080561374,0.0021,0.0009,0.0012,,,,,,,,,,,,,,
1187,2003,6/10/2003,2452801,160,-106.0515556,SK-PANP1-3,SK-PANP1,3,,Prairie,53.58363889,-106.0515556,500,0.986,0.672,2.154,3.205357143,19.35,21.504,-1.2,15.7,-19.3,34.9,400,286,22,54.8,2373,1105,6984,30,141,152,0.992975327,0.819756061,1.467651185,4.39886349,4.637240559,1.790351123,0.0021,0.0009,0.0012,,,,,,,,,,,,,,
1188,2003,6/10/2003,2452801,160,-106.0515556,SK-PANP1-3,SK-PANP1,3,,Prairie,53.58363889,-106.0515556,500,0.557,0.329,2.206,6.705167173,13.074,15.28,-1.2,15.7,-19.3,34.9,400,286,22,54.8,2373,1105,6984,30,141,152,0.746324326,0.573585216,1.48526092,3.615798667,3.908964057,2.589433755,0.0021,0.0009,0.0012,,,,,,,,,,,,,,
1189,2003,6/10/2003,2452801,160,-106.0515556,SK-PANP1-3,SK-PANP1,3,,Prairie,53.58363889,-106.0515556,500,0.917,0.405,2.172,5.362962963,18.868,21.04,-1.2,15.7,-19.3,34.9,400,286,22,54.8,2373,1105,6984,30,141,152,0.95760117,0.636396103,1.473770674,4.343731115,4.586937976,2.315807195,0.0021,0.0009,0.0012,,,,,,,,,,,,,,
1190,2003,6/10/2003,2452801,160,-106.0515556,SK-PANP1-3,SK-PANP1,3,,Prairie,53.58363889,-106.0515556,500,0.954,0.549,2.195,3.998178506,18.51,20.705,-1.2,15.7,-19.3,34.9,400,286,22,54.8,2373,1105,6984,30,141,152,0.976729236,0.740945342,1.481553239,4.302324953,4.550274717,1.999544575,0.0021,0.0009,0.0012,,,,,,,,,,,,,,
1191,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-4,MICH-MNF1,4,,Prairie,43.45166667,-85.72194444,237,0.866,0.453,1.715,3.785871965,25.216,26.931,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.93059121,0.673052747,1.309580085,5.021553544,5.189508647,1.94573173,0.0031,0.0008,0.0023,,,,,,,,,,,,,,
1192,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-4,MICH-MNF1,4,,Prairie,43.45166667,-85.72194444,237,0.511,0.404,1.224,3.02970297,22.716,23.94,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.71484264,0.635609943,1.106345335,4.766130506,4.892851929,1.740604197,0.0031,0.0008,0.0023,,,,,,,,,,,,,,
1193,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-4,MICH-MNF1,4,,Prairie,43.45166667,-85.72194444,237,0.706,0.264,2.29,8.674242424,22.651,24.941,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.840238062,0.513809303,1.513274595,4.759306672,4.994096515,2.945206686,0.0031,0.0008,0.0023,,,,,,,,,,,,,,
1194,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-4,MICH-MNF1,4,,Prairie,43.45166667,-85.72194444,237,0.934,0.367,2.269,6.182561308,22.302,24.571,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.966436754,0.605805249,1.506320019,4.722499338,4.956914363,2.48647568,0.0031,0.0008,0.0023,,,,,,,,,,,,,,
1195,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-4,MICH-MNF1,4,,Prairie,43.45166667,-85.72194444,237,0.412,0.425,1.05,2.470588235,16.216,17.266,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.641872261,0.651920241,1.024695077,4.026909485,4.155237659,1.571810496,0.0031,0.0008,0.0023,,,,,,,,,,,,,,
1196,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-5,SK-KBT1,5,,Prairie,51.95894444,-109.19375,679,0.354,0.296,1.383,4.672297297,26.525,27.908,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.594978991,0.54405882,1.176010204,5.150242713,5.282802287,2.161549744,0.0027,0.0008,0.0019,,,,,,,,,,,,,,
1197,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-5,SK-KBT1,5,,Prairie,51.95894444,-109.19375,679,0.848,0.537,2.081,3.875232775,27.655,29.736,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.920869155,0.732802838,1.442567156,5.258802145,5.453072528,1.968561093,0.0027,0.0008,0.0019,,,,,,,,,,,,,,
1198,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-5,SK-KBT1,5,,Prairie,51.95894444,-109.19375,679,1.096,0.509,2.343,4.603143418,33.941,36.284,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.046900186,0.713442359,1.530686121,5.82589049,6.023620174,2.145493747,0.0027,0.0008,0.0019,,,,,,,,,,,,,,
1199,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-5,SK-KBT1,5,,Prairie,51.95894444,-109.19375,679,0.759,0.467,2.301,4.927194861,21.776,24.077,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.871206061,0.683373983,1.516904743,4.666476187,4.906831972,2.219728556,0.0027,0.0008,0.0019,,,,,,,,,,,,,,
1200,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-5,SK-KBT1,5,,Prairie,51.95894444,-109.19375,679,1.026,0.65,2.295,3.530769231,34.098,36.393,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.012916581,0.806225775,1.514925741,5.839349279,6.032661104,1.879034122,0.0027,0.0008,0.0019,,,,,,,,,,,,,,
1201,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-1,MICH-DRI2,1,,Alvar,46.08333333,-83.68333333,184,1.779,0.594,2.242,3.774410774,15.474,17.716,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.333791588,0.770713955,1.497330959,3.933700548,4.209037895,1.942784284,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1202,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-1,MICH-DRI2,1,,Alvar,46.08333333,-83.68333333,184,1.541,0.675,1.765,2.614814815,14.041,15.806,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.241370211,0.821583836,1.328533026,3.747132237,3.975676043,1.617038903,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1203,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-1,MICH-DRI2,1,,Alvar,46.08333333,-83.68333333,184,1.473,0.581,1.667,2.86919105,15.479,17.146,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.213672114,0.76223356,1.291123542,3.93433603,4.140772875,1.693868664,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1204,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-1,MICH-DRI2,1,,Alvar,46.08333333,-83.68333333,184,1.418,0.695,2.564,3.689208633,12.86,15.424,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.190798052,0.8336666,1.601249512,3.586084215,3.927340067,1.920731276,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1205,2003,5/28/2003,2452788,147,-83.68333333,MICH-DRI2-1,MICH-DRI2,1,,Alvar,46.08333333,-83.68333333,184,0.881,0.689,2.324,3.373004354,15.139,17.463,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,0.938616002,0.830060239,1.52446712,3.890886788,4.178875447,1.836574081,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1206,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-3,MICH-MNF1,3,,Prairie,43.45166667,-85.72194444,237,0.901,0.527,1.467,2.783681214,14.029,15.496,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.949210198,0.725947657,1.211197754,3.74553067,3.936495904,1.668436758,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1207,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-3,MICH-MNF1,3,,Prairie,43.45166667,-85.72194444,237,1.18,0.842,1.767,2.098574822,17.761,19.528,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,1.086278049,0.91760558,1.329285522,4.214380144,4.419049672,1.448645858,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1208,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-3,MICH-MNF1,3,,Prairie,43.45166667,-85.72194444,237,1.014,0.862,1.65,1.914153132,16.528,18.178,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,1.00697567,0.928439551,1.284523258,4.065464303,4.263566582,1.383529231,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1209,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-3,MICH-MNF1,3,,Prairie,43.45166667,-85.72194444,237,1.144,0.526,1.626,3.091254753,13.008,14.634,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,1.069579357,0.725258575,1.27514705,3.606660505,3.825441151,1.758196449,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1210,2003,5/28/2003,2452788,147,-85.72194444,MICH-MNF1-3,MICH-MNF1,3,,Prairie,43.45166667,-85.72194444,237,0.73,0.553,2.1,3.797468354,13.9,16,3.5,18,-11.4,29.4,976,482,13.9,37.4,1151,1449,5310,76,141,151,0.854400375,0.743639698,1.449137675,3.728270376,4,1.948709407,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1211,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-3,SK-KBT1,3,,Prairie,51.95894444,-109.19375,679,0.72,0.742,2.606,3.51212938,15.37,17.976,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,0.848528137,0.861394219,1.614310999,3.920459157,4.239811317,1.874067603,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1212,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-3,SK-KBT1,3,,Prairie,51.95894444,-109.19375,679,1.407,0.679,2.293,3.377025037,19.003,21.296,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.186170308,0.824014563,1.514265499,4.359243054,4.614758932,1.83766837,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1213,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-3,SK-KBT1,3,,Prairie,51.95894444,-109.19375,679,1.19,0.521,2.798,5.370441459,19.149,21.947,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.090871211,0.721803297,1.672722332,4.375957038,4.684762534,2.317421295,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1214,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-3,SK-KBT1,3,,Prairie,51.95894444,-109.19375,679,1.968,0.792,2.621,3.309343434,24.594,27.215,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.402854233,0.889943818,1.618950277,4.959233812,5.216799785,1.81916009,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1215,2003,6/9/2003,2452800,159,-109.19375,SK-KBT1-3,SK-KBT1,3,,Prairie,51.95894444,-109.19375,679,1.751,0.873,1.527,1.749140893,14.047,15.574,2.9,19.6,-13.7,33.3,361,229,35.7,85.8,1611,1728,5622,158,172,134,1.323253566,0.93434469,1.235718415,3.747932764,3.946390756,1.322550904,0.0023,0.0008,0.0015,,,,,,,,,,,,,,
1216,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-3,MICH-DRI3,3,,Alvar,46.08333333,-83.7,184,1.094,0.794,2.217,2.792191436,13.597,15.814,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.045944549,0.891066776,1.488959368,3.687411016,3.976682034,1.670985169,0.0022,0.0008,0.0014,,,,,,,,,,,,,,
1217,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-3,MICH-DRI3,3,,Alvar,46.08333333,-83.7,184,1.079,0.759,1.773,2.335968379,14.052,15.825,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.038749248,0.871206061,1.331540461,3.748599739,3.978064856,1.528387509,0.0022,0.0008,0.0014,,,,,,,,,,,,,,
1218,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-3,MICH-DRI3,3,,Alvar,46.08333333,-83.7,184,1.783,0.738,2.599,3.521680217,10.065,12.664,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.335290231,0.859069264,1.612141433,3.172538416,3.55865143,1.87661403,0.0022,0.0008,0.0014,,,,,,,,,,,,,,
1219,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-3,MICH-DRI3,3,,Alvar,46.08333333,-83.7,184,1.147,0.66,1.956,2.963636364,9.796,11.752,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.070980859,0.81240384,1.398570699,3.129856227,3.428119018,1.721521526,0.0022,0.0008,0.0014,,,,,,,,,,,,,,
1220,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-3,MICH-DRI3,3,,Alvar,46.08333333,-83.7,184,1.26,0.839,1.796,2.140643623,8.866,10.662,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.122497216,0.915969432,1.340149245,2.977582912,3.265271811,1.463093853,0.0022,0.0008,0.0014,,,,,,,,,,,,,,
1221,2003,5/28/2003,2452788,147,-83.7,MICH-DRI3-2,MICH-DRI3,2,,Alvar,46.08333333,-83.7,184,1.058,0.566,1.629,2.878091873,14.163,15.792,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.02859127,0.752329715,1.276322843,3.763376144,3.973914946,1.696493994,0.0021,0.0008,0.0013,,,,,,,,,,,,,,
