Seq,xObs,yObs
111,1.556920036,7.665181015
112,1.606860293,7.756352235
113,1.261348485,7.252034197
114,1.623576299,5.873159286
115,1.636459593,6.769268794
116,1.441873781,7.7860131
117,1.47817455,7.508595075
118,1.457394936,7.392631467
119,1.586505594,7.863777718
120,1.582719179,7.817736245
121,1.161464593,7.398648525
122,1.380579588,7.339891007
123,1.158015544,7.422263806
124,1.31072499,7.320724008
125,1.315674732,6.993997426
126,1.369306394,8.287038072
127,1.31605471,8.230613586
128,1.297304899,7.603683318
129,1.20706255,8.475907031
130,1.094074952,8.016171156
131,1.428985654,7.141708479
132,1.473431369,7.367631913
133,1.277888884,7.277156038
134,1.460479373,7.278530071
135,1.357571361,7.140028011
136,1.225153052,6.386078609
137,1.136221809,4.661008475
138,1.264515718,6.244517595
139,1.196662024,6.308486348
140,1.346105494,6.332298161
141,1.376226726,6.968285298
142,1.218195387,6.923655104
143,1.194571053,6.623971618
144,1.374045123,7.096407542
145,1.163185282,7.152621897
146,1.526761278,7.153880066
147,1.372224471,7.377262365
148,1.353513945,6.352479831
149,1.089954127,6.785425558
150,1.404635184,6.874299964
151,1.42126704,7.220041551
152,1.410673598,7.104294476
153,1.48526092,6.447712773
154,1.637986569,7.143038569
155,1.502331521,7.379769644
156,1.261348485,6.72599435
157,1.304607221,6.194513702
158,1.245391505,5.401296141
159,1.476482306,5.988321969
160,1.363084737,7.178648898
161,1.088577053,6.856238036
162,1.529378959,7.647875522
163,1.194571053,6.590826959
164,1.742412121,8.205303163
165,1.718429516,8.054315613
166,1.143678276,7.354114495
167,1.187434209,7.002927959
168,1.224336555,6.861340977
169,1.23247718,7.284160899
170,1.204159458,7.238715356
171,1.659216683,7.604472368
172,1.28724512,5.949537797
173,1.575753788,7.367428317
174,1.554027027,7.107038764
175,1.627267649,7.388301564
176,1.438054241,5.160717004
177,1.357203006,5.328602068
178,1.261348485,5.83575188
179,1.144115379,5.931525942
180,1.496328841,5.579784942
181,1.126942767,6.739510368
182,1.33041347,6.549122079
183,1.324009063,6.388896618
184,1.326272973,6.536818798
185,1.278671185,6.406637183
186,1.56332978,7.214429984
187,1.065833008,5.463332316
188,0.702851336,5.501454353
189,1.707629936,6.847043157
190,1.534275073,6.823928487
191,1.19707978,7.181712888
